housing_type,region,parcel_ct,du_est_final,dps_2324_all,dps_2223_all,dps_2122_all,dps_2021_all,dps_avg_all,dps_2324_k12,dps_2223_k12,dps_2122_k12,dps_2021_k12,dps_avg_k12,charter_2324_k12,charter_2223_k12,charter_avg_k12,stu_2324_all,stu_2223_all,stu_avg_all,stu_2324_k12,stu_2223_k12,stu_avg_k12,sgr_dps_avg_all,sgr_dps_2324_all,sgr_dps_avg_k12,sgr_dps_2324_k12,sgr_char_avg_k12,sgr_char_2324_k12,sgr_stu_avg_all,sgr_stu_2324_all,sgr_stu_avg_k12,sgr_stu_2324_k12,sgr_dps_avg_k12_es,sgr_dps_avg_k12_ms,sgr_dps_avg_k12_hs,sgr_stu_avg_k12_es,sgr_stu_avg_k12_ms,sgr_stu_avg_k12_hs
condo,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-res,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
sf_attach,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sf_detach,,22,22,1,0,0,1,0.5,1,0,0,1,0.5,0,1,0.5,1,1,1,1,1,1,0.022727273,0.045454547,0.022727273,0.045454547,0.022727273,0,0.045454547,0.045454547,0.045454547,0.045454547,0.011363637,0.004545455,0.006818182,0.022727273,0.00909091,0.013636364
age_restrict,Central,6,162,0,1,3,3,1.75,0,1,3,3,1.75,0,0,0,0,1,0.5,0,1,0.5,0.010802469,0,0.010802469,0,0,0,0.00308642,0,0.00308642,0,0.005401235,0.002160494,0.003240741,0.00154321,0.000617284,0.000925926
condo,Central,51,812,17,20,20,24,20.25,15,19,20,23,19.25,7,4,5.5,24,24,24,22,23,22.5,0.024938423,0.02093596,0.023706896,0.018472906,0.006773399,0.00862069,0.029556651,0.029556651,0.027709359,0.027093597,0.011853448,0.004741379,0.007112069,0.01385468,0.005541872,0.008312807
du_tri,Central,1289,2731,546,590,628,677,610.25,529,576,628,651,596,162,158,160,708,748,728,691,734,712.5,0.223452941,0.199926764,0.218235075,0.193701938,0.058586597,0.05931893,0.266569018,0.259245694,0.260893434,0.253020883,0.109117538,0.043647014,0.065470524,0.130446717,0.052178688,0.078268029
hud,Central,36,306,75,53,72,88,72,72,52,72,85,70.25,20,30,25,95,83,89,92,82,87,0.235294119,0.24509804,0.229575157,0.235294119,0.081699349,0.065359481,0.290849686,0.310457528,0.284313738,0.300653607,0.114787579,0.04591503,0.068872549,0.142156869,0.056862749,0.08529412
manuf,Central,5,12,5,8,4,5,5.5,5,8,4,5,5.5,1,1,1,6,9,7.5,6,9,7.5,0.458333343,0.416666657,0.458333343,0.416666657,0.083333336,0.083333336,0.625,0.5,0.625,0.5,0.229166672,0.091666669,0.137500003,0.3125,0.125,0.1875
mf_apt,Central,316,7671,1226,1285,1307,1339,1289.25,1194,1251,1307,1300,1263,320,332,326,1546,1617,1581.5,1514,1583,1548.5,0.168068051,0.159822702,0.164646074,0.155651152,0.042497717,0.041715551,0.206166074,0.201538265,0.201864168,0.1973667,0.082323037,0.032929216,0.049393822,0.100932084,0.040372834,0.06055925
non-res,Central,3507,0,45,43,37,44,42.25,44,41,37,44,41.5,6,6,6,51,49,50,50,47,48.5,,,,,,,,,,,,,,,,
sf_attach,Central,197,197,6,5,7,10,7,6,5,7,8,6.5,1,2,1.5,7,7,7,7,7,7,0.035532996,0.030456852,0.032994922,0.030456852,0.007614213,0.005076142,0.035532996,0.035532996,0.035532996,0.035532996,0.016497461,0.006598984,0.009898476,0.017766498,0.007106599,0.010659899
sf_detach,Central,8974,8977,2386,2387,2390,2502,2416.25,2305,2310,2390,2410,2353.75,657,649,653,3043,3036,3039.5,2962,2959,2960.5,0.269160062,0.265790343,0.262197852,0.256767303,0.072741449,0.073187031,0.338587493,0.338977396,0.329787225,0.329954326,0.131098926,0.05243957,0.078659356,0.164893612,0.065957442,0.09893617
temp,Central,102,774,82,46,29,45,50.5,81,45,29,36,47.75,1,2,1.5,83,48,65.5,82,47,64.5,0.065245479,0.105943151,0.061692506,0.104651161,0.001937984,0.00129199,0.084625326,0.107235141,0.083333336,0.105943151,0.030846253,0.012338501,0.018507753,0.041666668,0.016666668,0.025
age_restrict,East,5,146,5,6,6,6,5.75,3,5,6,6,5,0,0,0,5,6,5.5,3,5,4,0.03938356,0.034246575,0.034246575,0.020547945,0,0,0.037671234,0.034246575,0.02739726,0.020547945,0.017123288,0.006849315,0.010273973,0.01369863,0.005479452,0.008219178
condo,East,11,223,131,132,132,121,129,129,131,132,120,128,38,34,36,169,166,167.5,167,165,166,0.578475356,0.587443948,0.57399106,0.578475356,0.161434978,0.170403585,0.751121104,0.757847548,0.7443946,0.748878896,0.28699553,0.114798211,0.172197312,0.3721973,0.148878917,0.223318383
du_tri,East,65,113,47,50,45,49,47.75,46,49,45,44,46,16,13,14.5,63,63,63,62,62,62,0.422566384,0.415929198,0.407079637,0.407079637,0.128318578,0.14159292,0.557522118,0.557522118,0.548672557,0.548672557,0.203539819,0.081415929,0.12212389,0.274336278,0.109734513,0.164601773
hud,East,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manuf,East,329,623,326,341,340,346,338.25,315,329,340,332,329,83,82,82.5,409,423,416,398,411,404.5,0.542937398,0.523274481,0.528089881,0.505617976,0.132423759,0.13322632,0.667736769,0.656500816,0.649277687,0.638844311,0.26404494,0.105617978,0.15842697,0.324638844,0.129855543,0.1947833
mf_apt,East,27,2368,525,512,516,537,522.5,506,500,516,518,510,158,185,171.5,683,697,690,664,685,674.5,0.220650345,0.221706077,0.215371624,0.213682428,0.072423987,0.066722974,0.291385144,0.288429052,0.284839541,0.280405402,0.107685812,0.043074325,0.064611487,0.14241977,0.056967907,0.085451864
non-res,East,6233,0,25,25,20,29,24.75,25,23,20,29,24.25,5,4,4.5,30,29,29.5,30,27,28.5,,,,,,,,,,,,,,,,
sf_attach,East,2864,2864,237,239,171,184,207.75,225,228,171,175,199.75,112,88,100,349,327,338,337,316,326.5,0.072538406,0.082751393,0.069745108,0.078561455,0.0349162,0.039106146,0.118016757,0.121857539,0.114001393,0.117667601,0.034872554,0.013949022,0.020923533,0.057000697,0.022800278,0.034200419
sf_detach,East,18865,18892,4248,4242,4145,4343,4244.5,4078,4087,4145,4195,4126.25,1863,1751,1807,6111,5993,6052,5941,5838,5889.5,0.224671826,0.224857077,0.218412548,0.215858564,0.095648952,0.098613173,0.32034725,0.323470265,0.311745703,0.314471722,0.109206274,0.043682508,0.065523766,0.155872852,0.062349141,0.093523711
temp,East,25,26,1,1,0,0,0.5,1,1,0,0,0.5,0,0,0,1,1,1,1,1,1,0.01923077,0.03846154,0.01923077,0.03846154,0,0,0.03846154,0.03846154,0.03846154,0.03846154,0.009615385,0.003846154,0.005769231,0.01923077,0.007692308,0.011538462
age_restrict,North,14,1203,1,2,2,2,1.75,1,2,2,1,1.5,3,2,2.5,4,4,4,4,4,4,0.001454697,0.000831255,0.001246883,0.000831255,0.002078138,0.002493766,0.003325021,0.003325021,0.003325021,0.003325021,0.000623441,0.000249377,0.000374065,0.00166251,0.000665004,0.000997506
condo,North,13,387,45,52,46,49,48,39,49,46,49,45.75,7,10,8.5,52,62,57,46,59,52.5,0.124031007,0.116279073,0.118217051,0.100775197,0.021963824,0.018087855,0.147286817,0.13436693,0.13565892,0.118863046,0.059108526,0.02364341,0.035465114,0.06782946,0.027131785,0.040697675
du_tri,North,183,391,148,151,142,159,150,146,148,142,157,148.25,21,17,19,169,168,168.5,167,165,166,0.383631706,0.378516614,0.379156023,0.373401523,0.04859335,0.053708442,0.43094629,0.432225078,0.424552441,0.427109987,0.189578012,0.075831205,0.113746807,0.21227622,0.08491049,0.127365738
hud,North,82,250,249,267,256,254,256.5,247,266,256,247,254,33,44,38.5,282,311,296.5,280,310,295,1.026000023,0.995999992,1.016000032,0.987999976,0.153999999,0.131999999,1.18599999,1.128000021,1.179999948,1.120000005,0.508000016,0.203200012,0.304800004,0.589999974,0.235999987,0.353999972
manuf,North,416,432,124,139,130,131,131,122,134,130,128,128.5,27,28,27.5,151,167,159,149,162,155.5,0.303240746,0.287037045,0.297453701,0.282407403,0.06365741,0.0625,0.368055552,0.349537045,0.359953701,0.344907403,0.148726851,0.05949074,0.08923611,0.179976851,0.071990743,0.107986107
mf_apt,North,80,4773,1798,1782,1630,1711,1730.25,1749,1728,1630,1655,1690.5,244,233,238.5,2042,2015,2028.5,1993,1961,1977,0.36250785,0.376702279,0.35417977,0.366436213,0.049968574,0.051120888,0.424994767,0.427823186,0.414204895,0.417557091,0.177089885,0.070835955,0.106253929,0.207102448,0.082840979,0.124261469
non-res,North,5933,0,19,18,21,21,19.75,18,17,21,21,19.25,6,5,5.5,25,23,24,24,22,23,,,,,,,,,,,,,,,,
sf_attach,North,2326,2326,241,242,241,252,244,232,231,241,238,235.5,52,38,45,293,280,286.5,284,269,276.5,0.10490112,0.10361135,0.101246774,0.099742047,0.019346518,0.022355976,0.123172827,0.125967324,0.118873604,0.122098021,0.050623387,0.020249356,0.030374032,0.059436802,0.023774721,0.035662081
sf_detach,North,19955,19970,5350,5473,5439,5697,5489.75,5175,5311,5439,5538,5365.75,1668,1607,1637.5,7018,7080,7049,6843,6918,6880.5,0.27489984,0.267901868,0.268690526,0.259138703,0.081997998,0.083525285,0.352979481,0.351427138,0.344541818,0.342664003,0.134345263,0.053738106,0.080607161,0.172270909,0.068908364,0.103362545
temp,North,34,205,10,0,0,0,2.5,10,0,0,0,2.5,0,0,0,10,0,5,10,0,5,0.012195121,0.048780486,0.012195121,0.048780486,0,0,0.024390243,0.048780486,0.024390243,0.048780486,0.006097561,0.002439024,0.003658536,0.012195121,0.004878049,0.007317073
age_restrict,Southeast,10,235,0,0,1,0,0.25,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0.00106383,0,0.00106383,0,0,0,0,0,0,0,0.000531915,0.000212766,0.000319149,0,0,0
condo,Southeast,18,457,30,28,33,35,31.5,29,28,33,35,31.25,7,5,6,37,33,35,36,33,34.5,0.068927787,0.065645516,0.068380743,0.063457333,0.013129103,0.015317286,0.076586433,0.080962799,0.075492345,0.078774616,0.034190372,0.013676149,0.020514224,0.037746172,0.015098469,0.022647703
du_tri,Southeast,188,381,104,94,94,109,100.25,100,89,94,106,97.25,13,6,9.5,117,100,108.5,113,95,104,0.263123363,0.272965878,0.255249351,0.262467206,0.024934383,0.034120735,0.284776896,0.307086617,0.272965878,0.296587914,0.127624676,0.05104987,0.076574802,0.136482939,0.054593176,0.081889763
hud,Southeast,10,397,283,295,319,328,306.25,274,290,319,318,300.25,50,60,55,333,355,344,324,350,337,0.771410584,0.712846339,0.756297231,0.690176308,0.138539046,0.125944585,0.866498768,0.838790953,0.848866522,0.816120923,0.378148615,0.151259452,0.226889163,0.424433261,0.16977331,0.254659951
manuf,Southeast,30,86,55,49,55,55,53.5,55,48,55,54,53,17,17,17,72,66,69,72,65,68.5,0.622093022,0.639534891,0.616279066,0.639534891,0.197674423,0.197674423,0.802325606,0.837209284,0.79651165,0.837209284,0.308139533,0.123255812,0.184883714,0.398255825,0.159302324,0.238953501
mf_apt,Southeast,119,12211,1713,1768,1572,1545,1649.5,1649,1718,1572,1497,1609,421,395,408,2134,2163,2148.5,2070,2113,2091.5,0.135083124,0.140283346,0.131766438,0.135042176,0.033412497,0.034477111,0.175947919,0.174760461,0.171279997,0.16951929,0.065883219,0.026353288,0.039529931,0.085639998,0.034256,0.051383998
non-res,Southeast,3755,0,5,4,6,9,6,5,3,6,9,5.75,3,0,1.5,8,4,6,8,3,5.5,,,,,,,,,,,,,,,,
sf_attach,Southeast,5820,5820,387,360,333,341,355.25,368,348,333,319,342,129,113,121,516,473,494.5,497,461,479,0.061039519,0.066494845,0.058762886,0.063230239,0.020790378,0.022164948,0.084965639,0.088659793,0.082302406,0.085395187,0.029381443,0.011752577,0.017628865,0.041151203,0.016460482,0.024690721
sf_detach,Southeast,12904,12906,2858,2900,2721,2910,2847.25,2761,2809,2721,2806,2774.25,601,575,588,3459,3475,3467,3362,3384,3373,0.220614448,0.221447393,0.214958161,0.213931501,0.045560203,0.046567488,0.268634737,0.268014878,0.261351317,0.260499001,0.107479081,0.042991631,0.06448745,0.130675659,0.052270263,0.078405395
temp,Southeast,41,48,52,41,48,39,45,51,40,48,37,44,4,0,2,56,41,48.5,55,40,47.5,0.9375,1.083333373,0.916666687,1.0625,0.041666668,0.083333336,1.010416627,1.166666627,0.989583313,1.145833373,0.458333343,0.183333337,0.275000006,0.494791657,0.197916657,0.296875
age_restrict,Southwest,25,871,2,2,6,2,3,2,2,6,2,3,0,0,0,2,2,2,2,2,2,0.003444317,0.002296211,0.003444317,0.002296211,0,0,0.002296211,0.002296211,0.002296211,0.002296211,0.001722158,0.000688863,0.001033295,0.001148106,0.000459242,0.000688863
condo,Southwest,137,1302,48,48,50,55,50.25,47,48,50,53,49.5,0,5,2.5,48,53,50.5,47,53,50,0.038594469,0.036866359,0.038018432,0.036098309,0.001920123,0,0.038786482,0.036866359,0.038402457,0.036098309,0.019009216,0.007603686,0.011405529,0.019201228,0.007680492,0.011520737
du_tri,Southwest,481,1042,184,181,211,225,200.25,180,176,211,219,196.5,32,33,32.5,216,214,215,212,209,210.5,0.192178503,0.176583499,0.188579649,0.172744721,0.031190019,0.030710172,0.20633398,0.207293659,0.202015355,0.203454897,0.094289824,0.03771593,0.056573894,0.101007678,0.040403072,0.060604606
hud,Southwest,8,311,150,174,150,184,164.5,148,170,150,175,160.75,43,36,39.5,193,210,201.5,191,206,198.5,0.52893889,0.482315123,0.516881049,0.475884259,0.127009645,0.138263673,0.647909939,0.620578766,0.638263643,0.614147902,0.258440524,0.10337621,0.155064315,0.319131821,0.127652735,0.191479087
manuf,Southwest,7,7,3,4,4,4,3.75,3,3,4,4,3.5,0,0,0,3,4,3.5,3,3,3,0.535714269,0.428571433,0.5,0.428571433,0,0,0.5,0.428571433,0.428571433,0.428571433,0.25,0.100000001,0.150000006,0.214285716,0.085714288,0.128571436
